year,league,section,team_count,avg_top_six,avg_team_rating,best_team,best_team_top_six
2026,55+ 3.0 Men,CTRL,1,3.015,2.858333333333333,CTRL.Knudson,3.015
2026,55+ 3.0 Men,CAP,5,3.013333333333333,2.8453925590749116,CAP.Kim,3.096666666666667
2026,55+ 3.0 Men,SET,5,3.013333333333333,2.8453925590749116,SET.Kim,3.096666666666667
2026,55+ 3.0 Men,METRO,1,3.0016666666666665,2.901818181818182,METRO.JCC,3.0016666666666665
2026,55+ 3.0 Men,ENO,2,2.895833333333333,2.7580769230769233,ENO.HS,2.955
2026,55+ 3.0 Men,NEUSE,1,2.893333333333333,2.696111111111111,NEUSE.SP,2.893333333333333
2026,55+ 3.0 Men,LKN,2,2.788333333333333,2.714555555555555,LKN.Westport,2.876666666666667
2026,55+ 3.0 Women,PIED,1,3.0366666666666666,2.7438461538461536,PIED.AM,3.0366666666666666
2026,55+ 3.0 Women,LKN,1,2.966666666666667,2.858181818181818,LKN.Thurs,2.966666666666667
2026,55+ 3.0 Women,METRO,1,2.938333333333333,2.885555555555556,METRO.Southampton,2.938333333333333
2026,55+ 3.0 Women,SET,2,2.9366666666666665,2.6992549261083743,SET.Day,2.9616666666666664
2026,55+ 3.0 Women,CTRL,1,2.9350000000000005,2.854444444444445,CTRL.Terjesen,2.9350000000000005
2026,55+ 3.0 Women,WNC,2,2.9191666666666665,2.7816111111111113,WNC.HRC,3.0749999999999997
2026,55+ 3.0 Women,ENO,6,2.8794444444444447,2.7062128982128986,ENO.MPanek-HR,2.9916666666666667
2026,55+ 3.0 Women,CAP,4,2.8466666666666667,2.6886538461538465,CAP.LeGaux,2.973333333333333
2026,55+ 3.0 Women,CP,1,2.641666666666666,2.4236363636363634,CP.Shots,2.641666666666666
2026,55+ 3.0 Women,NEUSE,1,2.641666666666666,2.4236363636363634,NEUSE.Shots,2.641666666666666
2026,55+ 3.5 Men,SET,3,3.4516666666666667,3.26551282051282,SET.DAY,3.5233333333333334
2026,55+ 3.5 Men,CTRL,2,3.45,3.3328333333333333,CTRL.Guthrie,3.4916666666666667
2026,55+ 3.5 Men,METRO,3,3.430555555555556,3.320492424242424,METRO.GCC,3.5283333333333338
2026,55+ 3.5 Men,WNC,2,3.4075,3.302613636363636,WNC.Peachtree,3.4233333333333333
2026,55+ 3.5 Men,CAP,5,3.379333333333333,3.2165027972027973,CAP.DeHaven,3.535
2026,55+ 3.5 Men,NEUSE,1,3.341666666666667,3.295,NEUSE.SP,3.341666666666667
